AATF
ADNP
ADNP2
AEBP1
AFF1
AFF4
AHCTF1
AHR
ALS2CR8
ALX1
ALX3
ALX4
ANKRD30A
AR
ARGFX
ARID3A
ARID4A
ARNT
ARNT2
ARNTL2
ARX
ASCL1
ASCL2
ATF1
ATF2
ATF3
ATF4
ATF5
ATF6
ATF6B
ATF7
ATOH1
BACH2
BARX1
BARX2
BATF
BATF2
BATF3
BCL3
BCL6
BHLHE40
BHLHE41
BLZF1
BNC1
BRD8
BSX
BTAF1
BUD31
C11orf9
C1orf85
C2orf3
C5orf41
CBFA2T2
CBFA2T3
CBFB
CBL
CCRN4L
CDKN2A
CDX1
CDX2
CDX4
CEBPA
CEBPB
CEBPD
CEBPE
CEBPG
CIR1
CITED1
CITED2
CLOCK
CNBP
CNOT7
CNOT8
CREB1
CREB3
CREB3L2
CREB3L3
CREB3L4
CREB5
CREBBP
CREBL2
CREBZF
CREM
CRX
CSDA
CSRNP1
CSRNP2
CSRNP3
CTBP1
CTCF
CTNNB1
CUX1
CUX2
DBX1
DBX2
DDIT3
DLX1
DLX2
DLX3
DLX4
DLX5
DLX6
DMBX1
DMRT1
DMRT2
DMTF1
DPRX
DRAP1
DRGX
DUX1
DUX2
DUX3
DUX4
DUX4L2
DUX4L3
DUX4L4
DUX4L5
DUX4L6
DUX4L7
DUX4L9
DUX5
DUXA
E2F1
E2F2
E2F3
E2F4
E2F5
E2F6
E2F7
E2F8
E4F1
EBF1
EDF1
EGR1
EGR2
EGR3
EGR4
EHF
ELF1
ELF2
ELF3
ELF4
ELF5
ELK1
ELK3
ELK4
EMX1
EMX2
EN1
EN2
ENO1
EOMES
EP300
ERF
ERG
ESR1
ESR2
ESX1
ETS1
ETS2
ETV1
ETV2
ETV3
ETV3L
ETV4
ETV5
ETV6
ETV7
EVX1
EVX2
FBXW7
FEV
FLI1
FOS
FOSB
FOSL1
FOSL2
FOXA1
FOXA2
FOXA3
FOXC1
FOXC2
FOXD1
FOXD2
FOXD3
FOXD4
FOXD4L3
FOXE1
FOXE3
FOXF2
FOXH1
FOXI1
FOXJ1
FOXK2
FOXL1
FOXL2
FOXM1
FOXN2
FOXO3
FOXO4
FOXP2
FOXP3
FOXS1
FUBP1
GABPA
GABPB1
GAS7
GATA1
GATA2
GATA3
GATA4
GATA5
GATA6
GATAD1
GATAD2A
GATAD2B
GBX1
GBX2
GCFC1
GCM1
GLI2
GLI3
GLIS3
GMEB1
GPBP1
GSC
GSC2
GSX1
GSX2
GTF2H2
GTF2H3
GTF2H4
GTF2I
GTF2IRD1
HAND1
HCFC1
HCLS1
HDAC1
HDAC2
HDX
HELT
HES1
HES6
HESX1
HEY1
HEY2
HEYL
HHEX
HIC1
HIF1A
HIF3A
HINFP
HIRA
HLF
HLX
HMBOX1
HMG20A
HMG20B
HMGA1
HMGB1
HMGB2
HMX1
HMX2
HMX3
HNF1A
HNF1B
HNF4A
HNF4G
HNRNPAB
HOMEZ
HOPX
HOXA1
HOXA10
HOXA11
HOXA13
HOXA2
HOXA3
HOXA4
HOXA5
HOXA6
HOXA7
HOXA9
HOXB1
HOXB13
HOXB2
HOXB3
HOXB4
HOXB5
HOXB6
HOXB7
HOXB8
HOXB9
HOXC10
HOXC11
HOXC12
HOXC13
HOXC4
HOXC5
HOXC6
HOXC8
HOXC9
HOXD1
HOXD10
HOXD11
HOXD12
HOXD13
HOXD3
HOXD4
HOXD8
HOXD9
HR
HSF1
HSF2
HSF4
HSF5
HSFY2
ID1
ID3
IKZF1
IKZF3
IKZF4
IRF1
IRF2
IRF3
IRF4
IRF5
IRF6
IRF9
IRX1
IRX2
IRX3
IRX4
IRX5
IRX6
ISL1
ISL2
ISX
JDP2
JUN
JUNB
JUND
KDM1A
KDM5A
KDM5B
KLF1
KLF10
KLF11
KLF12
KLF16
KLF17
KLF2
KLF3
KLF4
KLF5
KLF6
KLF7
KLF9
L3MBTL1
L3MBTL4
LASS2
LASS3
LASS4
LASS5
LASS6
LBX1
LBX2
LCOR
LEF1
LEUTX
LHX1
LHX2
LHX3
LHX4
LHX5
LHX6
LHX8
LHX9
LMO4
LMX1A
LMX1B
LOC100506164
LOC647589
LZTR1
LZTS1
MAF
MAFA
MAFB
MAFF
MAFG
MAFK
MAX
MBD1
MECOM
MECP2
MEF2A
MEF2B
MEF2C
MEF2D
MEIS2
MEIS3P1
MEOX1
MEOX2
MESP1
MESP2
MGA
MLL
MLL4
MLLT10
MLX
MLXIPL
MMP14
MNT
MNX1
MSC
MSL3
MSRB2
MSX2
MTA1
MTA2
MTA3
MTF1
MXD1
MYB
MYBL2
MYC
MYCL1
MYCN
MYF6
MYNN
MYOG
MYPOP
MYST2
MYT1
MYT1L
MZF1
NANOG
NANOGNB
NANOGP1
NANOGP8
NCOR1
NEUROD1
NEUROD2
NEUROG1
NEUROG3
NFAT5
NFATC1
NFATC2
NFATC3
NFE2
NFE2L1
NFE2L2
NFE2L3
NFIA
NFIC
NFIL3
NFIX
NFKB1
NFKB2
NFX1
NFXL1
NFYA
NFYB
NFYC
NKX1-1
NKX1-2
NKX2-1
NKX2-2
NKX2-3
NKX2-4
NKX2-5
NKX2-6
NKX2-8
NKX3-1
NKX3-2
NKX6-1
NKX6-2
NKX6-3
NME2
NOBOX
NOLC1
NOTCH1
NOTO
NPAS1
NPAS2
NPAT
NR0B2
NR1H4
NR1I3
NR2C1
NR2C2
NR2F1
NR2F2
NR2F6
NR3C1
NR3C2
NR5A2
NRL
ONECUT2
ONECUT3
OTP
OTX1
OTX2
PA2G4
PAX3
PAX4
PAX5
PAX6
PAX7
PAX8
PBX1
PBX2
PBX3
PBX4
PCGF2
PCGF6
PDX1
PEG3
PFDN1
PGBD1
PHF1
PHF5A
PHOX2A
PHOX2B
PHTF1
PITX1
PITX2
PITX3
PKNOX1
PKNOX2
PLAG1
PLAGL2
POU1F1
POU2F1
POU2F2
POU2F3
POU3F1
POU3F2
POU3F3
POU3F4
POU4F3
POU5F1
POU5F1B
POU5F2
POU6F1
POU6F2
PPARA
PPARD
PPARG
PRDM1
PRDM2
PROP1
PROX1
PRRX1
PRRX2
PTTG1
PURB
RARA
RARG
RAX
RAX2
RB1
RBCK1
RBPJ
RBPJL
RCAN1
RCOR2
REL
RELA
RELB
RERE
REST
REXO4
RFX3
RFX5
RFXANK
RFXAP
RHOXF1
RHOXF2
RHOXF2B
RNF4
RORA
RORB
RUNX1
RUNX1T1
RUNX2
RUNX3
RXRA
RXRB
SALL1
SALL2
SATB1
SATB2
SCAND1
SCAND2
SCAND3
SCMH1
SCML1
SCML2
SCRT1
SEBOX
SHOX
SHOX2
SIM1
SIM2
SIN3A
SIX1
SIX2
SIX4
SIX5
SIX6
SLC26A3
SLC2A4RG
SLC30A9
SMAD1
SMAD2
SMAD3
SMAD4
SMAD5
SMAD6
SMAD7
SMAD9
SNAI3
SNAPC2
SNAPC4
SNAPC5
SOHLH1
SOLH
SOX1
SOX13
SOX15
SOX18
SOX2
SOX21
SOX4
SOX5
SOX6
SOX7
SOX8
SOX9
SP1
SP140
SP4
SPDEF
SPEN
SPI1
SPIB
SPIC
SREBF1
SREBF2
SRF
ST18
STAT1
STAT2
STAT3
STAT4
STAT5A
STAT5B
STAT6
STRN3
SUPT4H1
SUPT6H
T
TADA2A
TADA3
TAF10
TAF12
TAF13
TAF1B
TAF4
TAF4B
TAF5
TAF5L
TAF6
TAF7
TAL1
TARDBP
TBP
TBPL2
TBR1
TBX1
TBX10
TBX15
TBX18
TBX19
TBX2
TBX20
TBX21
TBX22
TBX3
TBX4
TBX5
TBX6
TCEAL1
TCF12
TCF15
TCF19
TCF25
TCF3
TCF4
TCF7
TCF7L1
TCF7L2
TCFL5
TEAD1
TEAD2
TEAD3
TEAD4
TEF
TFAM
TFAP2B
TFAP2C
TFAP2D
TFAP2E
TFCP2
TFCP2L1
TFDP1
TFDP2
TFDP3
TFE3
TFEB
TFEC
TGIF1
TGIF2
TGIF2LX
TGIF2LY
THRA
THRB
TLX1
TLX2
TLX3
TMEM229A
TP53
TP63
TP73
TPRX1
TRERF1
TRIM22
TRIM25
TRIM28
TRIM29
TRPS1
TSC22D1
TSC22D2
TSC22D3
TSC22D4
TSHZ1
TSHZ2
TSHZ3
TULP4
TWIST2
UBN1
UBP1
UHRF1
UNCX
USF2
VAV1
VAX1
VAX2
VDR
VENTX
VSX1
VSX2
WNT5A
WT1
XBP1
YBX1
YEATS4
YY1
ZBTB17
ZBTB25
ZBTB38
ZBTB48
ZC3H8
ZEB1
ZEB2
ZFHX2
ZFHX3
ZFHX4
ZFP36L1
ZFP36L2
ZFP37
ZFP42
ZGLP1
ZGPAT
ZHX1
ZHX2
ZHX3
ZIC1
ZIC2
ZIC3
ZIC5
ZKSCAN1
ZKSCAN2
ZKSCAN3
ZKSCAN4
ZKSCAN5
ZNF117
ZNF131
ZNF132
ZNF133
ZNF134
ZNF135
ZNF138
ZNF140
ZNF148
ZNF154
ZNF155
ZNF157
ZNF165
ZNF167
ZNF169
ZNF174
ZNF175
ZNF18
ZNF187
ZNF189
ZNF19
ZNF192
ZNF193
ZNF197
ZNF202
ZNF207
ZNF213
ZNF215
ZNF217
ZNF219
ZNF232
ZNF236
ZNF238
ZNF24
ZNF256
ZNF263
ZNF268
ZNF274
ZNF277
ZNF281
ZNF287
ZNF3
ZNF323
ZNF33A
ZNF33B
ZNF35
ZNF354A
ZNF367
ZNF37A
ZNF394
ZNF396
ZNF397
ZNF41
ZNF444
ZNF445
ZNF446
ZNF449
ZNF45
ZNF483
ZNF496
ZNF498
ZNF500
ZNF628
ZNF639
ZNF643
ZNF69
ZNF70
ZNF71
ZNF73
ZNF75CP
ZNF75D
ZNF80
ZNF81
ZNF83
ZNF85
ZNF90
ZNF91
ZNF92
ZNF93
ZRANB2
ZSCAN1
ZSCAN10
ZSCAN12
ZSCAN16
ZSCAN18
ZSCAN2
ZSCAN20
ZSCAN21
ZSCAN22
ZSCAN23
ZSCAN29
ZSCAN30
ZSCAN4
ZSCAN5A
ZSCAN5B
ZSCAN5C
ZSCAN5D
ZXDA
ZXDC
